"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.36802136017224","2.40834620465969","2.44942936548705","2.4905125263144","2.53081155843892","2.58259252744609","2.65699739554066","2.84594224472094","2.9157646418005","2.97622251034485","3.03452472258519","3.06317633447398","3.08964648634674","3.13109894920578","3.1563597359922","3.18876925599428","3.21099831384719","4.57792192635851","4.54311753086277","4.66819427529352","4.79242732745486","4.86812886110105","4.88181288522108","4.9175377607198","4.9609440676344","5.01201100451766","5.04173888731344","","","",
"Afghanistan","AFG","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","22.6935312831389","25.4173029268293","28.1410745917285","30.8648462354189","33.5886178791092","36.3123895440085","39.0361611876988","41.7599328313892","44.4837044962884","47.2074761399788","49.9312477836691","52.6550194485684","55.3787910922588","54.2548925132556","53.1309939342524","52.0070953340403","50.8811737645811","49.756769416755","48.6323650901379","47.5079607635207","46.3835564156946","45.2591520890774","44.1347477624602","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","43.0159066808059","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.736781916918622","0.805783106862401","0.851124843438852","0.896188663972924","0.92933061726743","0.970821279605298","1.01935064534755","1.06788001108454","1.11579096729957","1.16370394979296","1.20922826462748","1.25934384870452","1.30562121742337","1.35180919165077","1.4020307399075","1.44061938262468","1.46258369701966","1.4845480114041","1.51032080005689","1.5257000006479","1.53993464806894","1.55423963528476","1.5685501912623","1.58286074723984","1.58783732373949","1.59294675786962","1.59748818175976","1.60209281545374","1.61979065549609","1.62423024139293","1.61793633868334","1.69341027502581","1.7040138392575","1.70717215239881","1.70531279998314","","","",
"Angola","AGO","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.324324324324324","0.332661122972973","0.340997920945946","0.349334719594595","0.357671517567568","0.366008316216216","0.374345114189189","0.382681912837838","0.391018710810811","0.399355509459459","0.407692307432432","0.416029106081081","0.42436590472973","0.432702702702703","0.441527027027027","0.450351351351351","0.459175675675676","0.468","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","0.476824324324324","","",
"Albania","ALB","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.46096654275093","4.43040892193309","4.39985130111524","4.3692936802974","4.33873605947955","4.30817843866171","4.81293680297398","5.31769516728625","5.82245353159851","6.32721189591078","6.83197026022305","6.50728624535316","6.18260223048327","5.85791821561338","5.53323420074349","5.20855018587361","4.73018587360595","4.63843866171004","4.54669144981413","4.45494423791822","4.3631970260223","4.27144981412639","4.17970260223048","4.08795539033457","3.99620817843866","3.42007434944238","4.05947955390335","4.05576208178439","3.56133828996283","4.20446096654275","2.92193308550186","2.95910780669145","2.96282527881041","","",
"Andorra","AND","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","183.812733194772","181.016550616698","183.913263225097","203.725549309262","195.9904591321","216.43506712302","206.210980865062","203.775399457341","","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","600","653.688888666667","707.377778","761.066666666667","814.755555333333","868.444444666667","922.133333333333","975.822222","1029.51111133333","1083.2","1028.222222","1052.31111133333","1076.4","1100.48888866667","1124.577778","1148.66666666667","1254.81333333333","1360.96","1467.10666666667","1573.25333333333","1555.86666666667","1527.92888866667","1499.99111133333","1472.05333333333","1669.36","1866.66666666667","1849.636364","1832.60606066667","1815.57575733333","1798.54545466667","1781.51515133333","1764.48484866667","1747.45454533333","1730.42424266667","1713.39393933333","1696.36363666667","1679.33333333333","1630","1667.33333333333","1628.66666666667","1587.33333333333","1533.33333333333","1509.93333333333","","",
"Argentina","ARG","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","9.45205479452055","9.46970620205479","9.48735760616438","9.50500901369863","9.52266041780822","9.54031182534247","9.55796322945205","9.5756146369863","9.59336697945206","9.61091744863014","9.6286950239726","9.64622026027397","9.66387166438356","9.68168709589041","9.69911139041096","9.71682588356164","9.73447728767123","9.75212869520548","9.76978009931507","9.78743150684931","9.90985787671233","10.0322842465753","10.1547106164384","10.2771369863014","10.3995633561644","10.6275077842466","10.8554522089041","11.0833966369863","11.3113410650685","11.5392854931507","11.7672299178082","11.9951743458904","12.2231187739726","12.4510632020548","12.6790076267123","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","12.9075342465753","","",
"Armenia","ARM","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.6248724303834","43.4903047091413","36.9004228021577","33.197259075667","26.9718617874326","29.0712931914273","28.6630704184283","27.2780288671818","25.1640180784371","25.2660737716868","28.808864265928","36.4922000291588","40.399475142149","41.215920688147","43.9131068668902","41.8865723866453","35.9236040239102","31.0103513631725","35.5445400204111","42.8779705496428","43.0820819361423","41.6970403848958","47.6891675171308","46.3770228896341","41.8428342323954","39.5684502114011","41.7699373086456","41.2596588423969","43.2570345531419","44.787869951888","","",
