year,countries_with_data,mean,median,std,min,max,q25,q75
1988,91,110.88397986325033,6.75236363636364,569.5156022888984,0.0163120567375887,5318.333333,1.0181254351807976,36.137427605215805
1989,91,112.95082300695273,6.83527272727273,574.9145131970665,0.0183783783783784,5356.666667,1.093450629397241,35.73344083354005
1990,103,148.87357372624908,8.28965517241379,718.3842106458693,0.0185585585585586,5392.5,1.4284202267265749,34.4901077884294
1991,109,143.83469862080952,8.29931034482759,706.9235617526224,0.0187387387387387,5430.833333,1.474492451848,35.3416286307054
1992,121,141.47886508817717,8.30896551724138,690.3978722123435,0.0189189189189189,5469.166667,1.5619298245614,36.1051106500692
1993,129,136.40744849162755,8.70492811563004,685.7698689179144,0.0190990990990991,5487.5,1.56038521603332,36.8685926694329
1994,135,148.73307683322935,9.29057430614285,709.4201876123317,0.0192792792792793,5700.240375,1.705032546741855,38.1032787237087
1995,142,145.2266361576864,9.45245969687841,717.4645488508398,0.0194594594594595,5953.269225,1.8409211946282276,37.03764012228192
1996,144,148.2547103232947,9.65061669128973,738.5293587302699,0.0196396396396396,6206.298075,1.9932815913739275,34.32112685371885
1997,145,150.4502438482036,9.66526313406634,761.9931643090953,0.0198198198198198,6459.326925,2.06452618453865,31.3342857142857
1998,146,153.35136616570784,9.175473355172414,785.3776360189231,0.02,6712.355775,1.8146602238621075,31.285832333735875
1999,147,156.47879593657692,8.55528526896552,808.6867394864975,0.0201801801801802,6965.384625,1.7026258984248202,30.95100662406645
2000,157,143.34302248670355,8.60962382758621,754.5760505690703,0.0203603603603604,7218.413475,1.57894736842105,29.2033333333333
2001,159,140.2172462258177,8.66396237931034,734.4052200206563,0.0205405405405405,6808.108975,1.57202717636032,28.33753662574405
2002,162,136.81651953573186,8.571271,713.7351319507518,0.0207207207207207,6397.8045,1.5782736515201026,28.738227984198748
2003,163,134.82497404945192,8.67387765503876,698.0607113292407,0.0207207207207207,6206.1,1.6982939425465848,29.252526506829703
2004,164,136.25224861821306,8.82494736091954,702.2441756000059,0.0207207207207207,6373.8,1.754556750664175,28.98184219197645
2005,166,136.52260690956382,8.706912972286819,703.7601457969898,0.0207207207207207,6541.5,1.788057310117955,27.919248120300725
2006,169,134.80482467388728,8.87051061627907,700.675831134478,0.0207207207207207,6709.2,1.81094527363184,29.7787301714286
2007,171,133.44053074079548,9.1,699.7370671693882,0.0207207207207207,6876.9,1.8568723706784902,28.160269182829353
2008,174,131.50329169089028,8.952375472868216,697.2362854712962,0.0207207207207207,7044.6,1.7821539226435625,29.247147251858124
2009,174,131.42341483923033,8.86923076923077,701.0557220247223,0.0207207207207207,7212.3,1.8156360109267975,28.901489361702147
2010,175,130.56056121064861,8.63715278645833,703.304628378787,0.0207207207207207,7380.0,1.7917510396396552,29.438808455682448
2011,175,128.29557204534598,8.65384615384615,684.9865996420536,0.0207207207207207,7165.0,1.8870900925606149,30.38748733535965
